image,question,refs,fusion,skill,win
VizWiz_val_00000017.jpg,Can you see if this is 32 bit or 64 bit?  Thanks.,"['unanswerable', 'no', 'unanswerable', '32', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'no', 'no']",cd,unanswerable,skill wins
VizWiz_val_00000022.jpg,Can you tell what this is?,"['bottle something dropper lid', 'unanswerable', 'bottle meds', 'some kind drops', 'dropper bottle', 'medicine', 'dropper bottle', 'yes', 'nose drops', 'bottle dropper']",no,unanswerable,skill wins
VizWiz_val_00000049.jpg,What kind of pop is this?,"['nestea', 'unanswerable', 'nestle tea', 'unanswerable', 'orange nestea', 'orange juice', 'unanswerable', 'nestea', 'orange', 'nestle']",unanswerable,nestea,fusion wins
VizWiz_val_00000058.jpg,I cannot move the camera slightly closer to the monitor.,"['yes', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']",yes,unanswerable,skill wins
VizWiz_val_00000061.jpg,What is this?,"['email tab', 'desktop', 'close up computer screen', 'computer screen', 'computer screen', 'program window', 'computer screen', 'unanswerable', 'screen', 'unanswerable']",unanswerable,computer screen,skill wins
VizWiz_val_00000068.jpg,What does the screen say?,"['windows please', 'unanswerable', 'unanswerable', 'image cutoff cant read', 'unanswerable', 'please wait', 'unanswerable', 'unanswerable', 'windows', 'please wait windows']",nothing,unanswerable,skill wins
VizWiz_val_00000085.jpg,please explain what is on this piece of paper,"['unanswerable', 'stress advertisement', 'stress relieve instructions', 'talks about stress relief', 'unanswerable', 'unanswerable', 'tips to manage stress', 'stress', 'managing stress eating right', 'how to heal stress']",i dont know,unanswerable,skill wins
VizWiz_val_00000093.jpg,"Is this picture clear, and where are we now?","['card', 'unanswerable', 'no', 'yes unanswerable', 'yes on windows repair screen', 'no', 'no', 'unanswerable', 'yes', 'yes hit close']",unanswerable,computer screen,fusion wins
VizWiz_val_00000096.jpg,Is this caffeinated or decaffeinated?,"['caffeinated', 'caffeinated', 'caffeinated', 'caffeinated', 'caffeinated', 'unanswerable', 'caffeinated', 'caffeinated', 'caffeinated', 'caffeinated']",unanswerable,pepsi,fusion wins
VizWiz_val_00000108.jpg,What does this screen say?,"['expanding windows files 52%', 'expanding windows files', 'expanding windows files 52%', 'expanding windows files', 'unanswerable', 'unanswerable', 'thats all they need', 'expanding windows files', 'expanding windows files', 'expanding windows']",installing windows,unanswerable,skill wins
VizWiz_val_00000122.jpg,What is this item?,"['mexican steak marinade', 'bottle', 'unanswerable', 'bottled sauce', 'marinade', 'hot sauce', 'unanswerable', 'bottle sauce', 'unanswerable', 'unanswerable']",unanswerable,sauce,fusion wins
VizWiz_val_00000127.jpg,What does the screen say?,"['windows 7 home premium', 'windows', 'windows 7 home premium', 'windows 7 home premium', 'windows 7 home premium', 'windows 7 home premium', 'windows 7 home premium', 'windows home premium', 'windows 7 home premium', 'windows home premium']",starting windows,windows,skill wins
VizWiz_val_00000129.jpg,"Ok I have taken a picture of a sticker close up now hopefully you can see it. Again, I need the model number. Thank You","['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'cannot see model number in image', 'unanswerable']",no,unanswerable,skill wins
VizWiz_val_00000133.jpg,Can you tell us what this screen says? Thanks.,"['something about remembering your password', 'next', 'if you need help will show you hint for your password', 'you remember you passwords will show you your hint next', 'hint for password', 'password setup screen', 'unanswerable', 'next', 'no not image full screen', 'no']",next,unanswerable,fusion wins
VizWiz_val_00000155.jpg,Is this piece of mail?,"['yes', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'yes', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']",unanswerable,no,fusion wins
VizWiz_val_00000156.jpg,Can you tell what I'm playing?,"['no', 'angry birds', 'angry birds', 'no', 'angry birds', 'angry birds', 'angry birds', 'unanswerable', 'unanswerable', 'no']",unanswerable,no,skill wins
VizWiz_val_00000172.jpg,What's on this channel?,"['sports game', 'hockey game', 'maple leafs at rangers', 'maple leafs', 'unanswerable', 'unanswerable', 'unanswerable', 'sports team information', 'maple leafs at new york rangers', 'unanswerable']",unanswerable,yes,fusion wins
VizWiz_val_00000179.jpg,Is this person attractive?,"['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']",unanswerable,no,fusion wins
VizWiz_val_00000201.jpg,Can you read this seven day forecast and write it out in the app so I can use voice over to read it? It's a seven day forecast,"['wed 100 thu 101 80 fri 102 80 sat 10280 sun 101 80 mon 10081 tues 100 80', 'wed 100 thu 101 fri 100 sat 102 sun 101 mon 100 tue 100', '100 101 100 102 101 100 100', 'unanswerable', '100 80 101 81 100 80 102 80 101 80 1000 81 100 80', 'yes', 'yes', 'yes', 'wed 100 thu 101 80 fri100 81 sat102 80 sun101 80 mon100 81 tue 100 80', 'yes wed 100 thu 100 fri 100 sat 102 sun 101 mon 100 tue 100']",yes,unanswerable,fusion wins
VizWiz_val_00000204.jpg,What does this CD say?,"['death cab for cutie codes keys', 'data music', 'unanswerable', 'unanswerable', 'death cab for cutie codes keys', 'hpl', 'death cab for cutie codes keys', 'death cab for cutie codes keys', 'unanswerable', 'death cab for cutie codes keys']",unanswerable,harry potter,fusion wins
VizWiz_val_00000221.jpg,"Hi, what do you see in the screen?","['file storage sizes', 'unanswerable', 'words', 'contacts', 'unanswerable', 'unanswerable', 'storage information', 'languages to choose from', 'unanswerable', 'unanswerable']",yes,unanswerable,skill wins
VizWiz_val_00000229.jpg,Please tell me about this calendar? ,"['month october has horse images', 'october', 'october', 'unanswerable', 'month october', 'unanswerable', 'october month', 'october', 'october', 'unanswerable']",unanswerable,no,fusion wins
VizWiz_val_00000231.jpg,Just curious to see whether you could read what was on the computer screen. Just testing this application.,"['australia lucky google go to googlecom', 'no', 'partially', 'no cannot read what on computer screen', 'partial', 'no', 'no', 'google', 'barely', 'unanswerable']",no,unanswerable,fusion wins
VizWiz_val_00000232.jpg,Is it possible then that we have a blank screen? If so this may mean that something is happening.,"['no', 'yes', 'yes driver installation', 'no blank screen query screen', 'yes', 'no', 'no', 'waiting for driver to be installed', 'driver installation', 'unanswerable']",error message,unanswerable,skill wins
VizWiz_val_00000244.jpg,Which one of the three images is the Google logo?,"['unanswerable', '0', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'first image', 'left']",unanswerable,laptop,fusion wins
VizWiz_val_00000265.jpg,What color has the light?,"['white', 'red', 'clear', 'unanswerable', 'red', 'unanswerable', 'red', 'unanswerable', 'unanswerable', 'unanswerable']",white,pink,fusion wins
VizWiz_val_00000277.jpg,Can you tell me what the computer screen is saying? Windows is not booting.,"['unanswerable', 'starting repairs', 'unable to start checking your system for problems starting repairs', 'unanswerable', 'unable to start system will repair could take some minutes', 'unable to start checking your system for problems', 'problems', 'unanswerable', 'that problem that needs no be fixed', 'unable to start']",startup repair,unanswerable,skill wins
VizWiz_val_00000298.jpg,Can you see a bottle in this picture and if so what is it?,"['unanswerable', 'no', 'no', 'no', 'no', 'no bottle', 'no', 'no', 'no', 'no']",no,computer screen,fusion wins
VizWiz_val_00000314.jpg,Can you please tell me not to compare skin cells? Thank you very much.,"['unanswerable', 'dont compare skin cells', 'unanswerable', 'yes', 'unanswerable', 'unanswerable', 'unanswerable', 'do not compare skin cells', 'do not compare skin cells', 'unanswerable']",yes,computer screen,fusion wins
VizWiz_val_00000319.jpg,There should be a skin of a document on the screen. Can you please tell me if that's true or not? Thank you very much,"['yes', 'yes', 'not true', 'not', 'yes', 'unanswerable', 'no', 'yes', 'yes', 'unanswerable']",no,unanswerable,skill wins
VizWiz_val_00000332.jpg,I'm trying again.  I moved the camera.  Can you tell me where this piece of mail is from?  Thank you.,"['no', 'vancouver washington', 'unanswerable', 'unanswerable', 'vancouver washington', 'clark', 'unanswerable', 'unanswerable', 'unanswerable', 'first word clark cant read other name']",unanswerable,no,fusion wins
VizWiz_val_00000345.jpg,What is on the monitor?,"['unanswerable', 'unanswerable', 'unanswerable', 'nothing', 'nothing', 'white screen', 'unanswerable', 'start bar', 'unanswerable', 'unanswerable']",nothing,no,fusion wins
VizWiz_val_00000350.jpg,"There are four sets of five numbers on this ticket, can you read them for me?","['yes', 'unanswerable', '0103041329 0304111325 0407121320 1307131525', '1341329 34111325 47121320 37131525', '01 03 04 13 29 03 04 11 13 25 04 07 12 13 20 03 07 13 15 25', '01 03 14 13 29 03 04 11 13 25 04 07 12 13 20 03 07 13 15 25', 'yes', '01 03 04 13 29 03 04 11 13 25 04 07 12 13 20 03 07 13 15 25', '01 03 04 13 29 03 04 11 13 25 03 07 13 15 25', 'yes']",10,unanswerable,skill wins
VizWiz_val_00000351.jpg,ok as requested i've moved my camera to the left and can you please tell me what the screen says thank you very much,"['yes', 'copying windows files', 'installing windows', 'installing windows expanding windows files 53%', 'installing windows', 'installing expanding windows', 'expanding windows', 'expanding windows files', 'installing windows expanding windows files', 'installing windows']",installing windows,unanswerable,fusion wins
VizWiz_val_00000376.jpg,What is this thing?,"['laptop screen', 'unanswerable', 'monitor', 'computer screen', 'video game', 'computer screen', 'unanswerable', 'computer screen', 'monitor', 'desktop']",unanswerable,computer screen,skill wins
VizWiz_val_00000387.jpg,What it is a?,"['laptop lots cords', 'unanswerable', 'unknown', 'desk computer cables wires more', 'unanswerable', 'computer cords accesories', 'unanswerable', 'unanswerable', 'cords plugged into laptop', 'unanswerable']",unanswerable,computer,fusion wins
VizWiz_val_00000389.jpg,What was that?,"['unanswerable', 'television', 'program', 'emergency alert system', 'emergency alert system', 'tv', 'unanswerable', 'emergency alert system', 'unanswerable', 'unanswerable']",unanswerable,tv,fusion wins
VizWiz_val_00000398.jpg,What's on the screen,"['text', 'website url', 'please visit: wwwhpcom go techcenter', 'unanswerable', 'visit: wwwhpcom go techcenter', 'please visit: wwwhpcom go techcenter', 'website', 'unanswerable', 'web address', 'full computer screen not shown on image']",unanswerable,microsoft corporation,fusion wins
VizWiz_val_00000432.jpg,Is Windows up on the computer? Am I at the desktop?,"['yes', 'yes', 'no', 'no', 'yes', 'unanswerable', 'loading', 'yes', 'windows up on computer', 'no windows not up youre at laptop']",yes,unanswerable,fusion wins
VizWiz_val_00000439.jpg,What is on the screen?,"['unanswerable', 'unanswerable', 'windows', 'unknown', 'unanswerable', 'unanswerable', 'install windows', 'unanswerable', 'software license agreement', 'unanswerable']",startup repair,unanswerable,skill wins
VizWiz_val_00000445.jpg,"Can you see if there's a year and date, and the team that Ricky Henderson is on, on the back of this baseball card? Thank you.","['1991 athletes', '1991 no date', '1991 oakland athletics', 'no', '1991 athletics', 'yes', 'unanswerable', 'no', 'no', '1991']",no,unanswerable,fusion wins
VizWiz_val_00000455.jpg,What is this thing?,"['computer message', 'laptop', 'computer screen', 'dialog box', 'computer', 'laptop', 'computer screen', 'computer screen', 'computer dialog box', 'message to restore computer using system restore']",unanswerable,computer screen,skill wins
VizWiz_val_00000466.jpg,What does it say on the screen?,"['next cancel', 'big white box next l cancel r buttons bottom r below latitude e6420 installing drivers', 'unanswerable', 'unanswerable', 'latitude e6420', 'unanswerable', 'unanswerable', 'unanswerable', 'image only shows next button cancel button', 'next']",microsoft corporation,unanswerable,skill wins
VizWiz_val_00000467.jpg,"Can you tell me what the number is on my King Soopers card, please?","['turn over', 'unanswerable', 'unanswerable', 'no', 'unanswerable', 'unanswerable', 'no', 'unanswerable', 'unanswerable', 'unanswerable']",unanswerable,no,fusion wins
VizWiz_val_00000496.jpg,What's this?,"['laptop', 'unanswerable', 'computer screen showing access apple', 'monitor', 'screen', 'computer screen', 'web page access', 'computer screen', 'sign on screen for apple', 'unanswerable']",unanswerable,laptop,fusion wins
VizWiz_val_00000511.jpg,What's on the screen?,"['do you want to restore your comp using system restore pop up', 'error message', 'do you want to restore your computer using system restore', 'startup', 'startup repaid diagnostic screen', 'systems restore question: do you want to use to restore your computer', 'startup repair', 'startup repair', 'question to restore computer', 'do you want to restore your computer using system restore']",startup repair,system restore,fusion wins
VizWiz_val_00000517.jpg,Is there an error message on the screen? And is there an action item or action that needs to be taken?,"['unanswerable', 'yes startup repair', 'your computer was unable to start startup repair', 'yes', 'yes move mouse down to right click ok', 'unanswerable', 'startup repair', 'startup repair hit ok', 'yes startup repair', 'yes error message action to be taken']",startup repair,unanswerable,skill wins
VizWiz_val_00000521.jpg,What is my computer screen showing?,"['your computer was unable to restart', 'repairs', 'your computer was unable to start', 'startup repair', 'startup repair', 'startup repair screen', 'attempting repairs', 'attempting repair', 'computer unable to restart', 'windows repairs']",startup repair,unanswerable,fusion wins
VizWiz_val_00000528.jpg,Can you see actually the whole screen now and did it actually change when I hit enter?,"['no', 'no dont know', 'unanswerable', 'no', 'unanswerable', 'whole screen now', 'user license agreement', 'unanswerable', 'yes on license agreement', 'unanswerable']",yes,unanswerable,skill wins
VizWiz_val_00000529.jpg,What kind of computer is this?,"['macbook', 'macbook', 'unanswerable', 'laptop', 'laptop', 'laptop', 'microsoft', 'mac laptop', 'acer laptop', 'laptop computer']",laptop,unanswerable,fusion wins
VizWiz_val_00000556.jpg,Yes this is a Google Street View and I need as detailed a description as possible of the image. Thank you.,"['unanswerable', 'has house at far end field trees on', 'building lawn trees', 'street trees grassy area brick building behind trees', 'parking long trees grass building in back', 'grassy park area trees brick building in background', 'trees on left right grass ground ahead brick building straight forward bushes', 'lawn trees building', 'beyond trees looks like office building', 'commercial building grass trees in front building']",yes,unanswerable,skill wins
VizWiz_val_00000564.jpg,Please tell me any visible text on this screen.,"['unanswerable', 'no text visible', 'unanswerable', 'no', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'no', 'unanswerable']",no,unanswerable,skill wins
VizWiz_val_00000572.jpg,Can you see the Captcha?,"['no', 'no', 'unanswerable', 'no', 'no', 'no', 'no', 'no', 'unanswerable', 'no']",unanswerable,no,skill wins
VizWiz_val_00000593.jpg,What does the sky look like in this photograph?,"['cloudy sun shining through', 'cloudy', 'cloudy', 'bird', 'cloudy', 'dark clouds slight crack sun', 'dusk', 'grey cloudy', 'grey cloudy some sun coming through', 'cloudy']",cloudy,clear,fusion wins
VizWiz_val_00000595.jpg,What is this?,"['plug', 'cord', 'unknown', 'electrical plug', 'charger', 'camera', 'plug', 'phone', 'plug', 'plug for outlet']",plug,charger,fusion wins
VizWiz_val_00000596.jpg,Does this shoe have a stiletto heel?,"['yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']",yes,no,fusion wins
VizWiz_val_00000604.jpg,What is this?,"['computer screen hand', 'monitor', 'computer', 'tablet', 'computer', 'computer screen', 'hand', 'unanswerable', 'computer router', 'unanswerable']",unanswerable,laptop,fusion wins
VizWiz_val_00000605.jpg,what is this?,"['laptop screen', 'laptop computer', 'computer', 'screen', 'computer screen', 'computer', 'computer screen', 'computer screen', 'computer screen', 'computer screen']",computer screen,tv,fusion wins
VizWiz_val_00000618.jpg,What kind of food is in this can?,"['garden vegetable soup', 'garden vegetable soup', 'garden vegetable', 'vegetable soup', 'soup', 'soup', 'vegetable soup', 'progresso vegetable classics garden vegetable', 'garden vegetable soup', 'soup']",unanswerable,soup,skill wins
VizWiz_val_00000630.jpg,What's this?,"['computer screen', 'corner laptop screen', 'unanswerable', 'computer screen', 'blurry computer screen', 'wed page', 'unanswerable', 'computer screen', 'unanswerable', 'computer screen']",unanswerable,tv,fusion wins
VizWiz_val_00000636.jpg,Which lottery to get has two sets of numbers?,"['unanswerable', 'unanswerable', 'unanswerable', 'left 1', 'left hand ticket', 'left', 'left ticket', 'unanswerable', 'left 1', 'unanswerable']",10,unanswerable,skill wins
VizWiz_val_00000641.jpg,What this that picture?,"['unanswerable', 'table', 'some wooden cabinet top laptop', 'looks to be table surface looking down from computer monitor', 'unanswerable', 'desktop', 'wall', 'part laptop screen', 'wood table', 'unanswerable']",unanswerable,laptop,fusion wins
VizWiz_val_00000650.jpg,what can i hear on the screen.,"['nothing', 'computer screen to login', 'desktop screen', 'unanswerable', 'unanswerable', 'unanswerable', 'windows desktop', 'unanswerable', 'unanswerable', 'just shows normal desk top home screen']",nothing,apple,fusion wins
VizWiz_val_00000661.jpg,Is this a snakebite?,"['unanswerable', 'possibly', 'unanswerable', 'no', 'unanswerable', 'unanswerable', 'maybe', 'maybe', 'no', 'unanswerable']",no,unanswerable,skill wins
VizWiz_val_00000687.jpg,What's this?,"['room', 'half computer screen', 'monitor', 'laptop', 'laptop', 'computer screen', 'computer monitor', 'laptop', 'laptop', 'tv']",keyboard,laptop,skill wins
VizWiz_val_00000689.jpg,What is this device,"['tablet', 'tablet', 'computer tablet', 'computer screen', 'monitor', 'tablet', 'ipad', 'computer screen', 'laptop', 'tablet']",laptop,tablet,skill wins
VizWiz_val_00000695.jpg,What is the letter on the wall?,"['t', 't', 't', 't', 't', 't', 't', 't', 't', 't']",t,entertainment center,fusion wins
VizWiz_val_00000704.jpg,What is this a picture of? From a new user.,"['laptop keyboard', 'laptop', 'laptop', 'keyboard computer screen from laptop computer', 'laptop computer', 'laptop keyboard', 'laptop', 'desktop laptop', 'laptop keyboard screen', 'laptop']",unanswerable,laptop,skill wins
VizWiz_val_00000730.jpg,"What, what is this?","['system restore disk check on desktop', 'computer keyboard', 'computer', 'computer', 'computer screen keyboard', 'keyboard monitor', 'computer', 'computer system menu', 'computer', 'desktop monitor keyboard']",unanswerable,computer,skill wins
VizWiz_val_00000740.jpg,What is the computer screen showing?,"['error message', 'text', 'advanced boot options', 'script', 'startup screen', 'advanced boot options screen', 'advanced boot options', 'advanced boot options shows middle screen not left right', 'advanced boot options', 'code']",startup repair,error message,skill wins
VizWiz_val_00000762.jpg,What is this?,"['computer game screen', 'minecraft', 'minecraft hole in ground', 'minecraft screen', 'tunnel in minecraft game', 'minecraft screen', 'computer screen', 'animation hole in ground', 'unanswerable', 'picture']",video game,computer screen,skill wins
VizWiz_val_00000790.jpg,What is this?,"['radio', 'universal remote', 'phone', 'cellphone', 'unanswerable', 'cordless phone', 'controller', 'audio recorder', 'recorder', 'phone']",unanswerable,phone,skill wins
VizWiz_val_00000801.jpg,What is it?,"['music files on computer screen', 'itunes', 'unanswerable', 'unanswerable', 'unanswerable', 'computer screen', 'computer screen', 'unanswerable', 'itunes', 'music notes']",unanswerable,tablet,fusion wins
VizWiz_val_00000802.jpg,Does it have any writing on it?,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']",unanswerable,no,skill wins
VizWiz_val_00000807.jpg,What this?,"['pc screen', 'you cam window on screen', 'computer screen', 'laptop webcam on', 'you can settings window', 'computer screen', 'you cam', 'computer screen', 'youcam', 'web cam']",unanswerable,computer screen,skill wins
VizWiz_val_00000825.jpg,It says books.,"['unanswerable', 'laptop', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'no', 'unanswerable', 'unanswerable']",yes,no,skill wins
VizWiz_val_00000836.jpg,What does this card say?,"['redemption instructions terms service', 'unanswerable', 'unanswerable', 'unanswerable', 'itunes', 'itunes for iphone', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']",unanswerable,itunes,fusion wins
VizWiz_val_00000842.jpg,What is in this picture?,"['laptop screen', 'unanswerable', 'unanswerable', 'web page', 'computer monitor', 'unanswerable', 'laptop', 'computer', 'computer', 'unanswerable']",unanswerable,laptop,fusion wins
VizWiz_val_00000849.jpg,Which laptop is this?,"['hp', 'unanswerable', 'unanswerable', 'unanswerable', 'hewlett packard', 'unanswerable', 'unanswerable', 'dell', 'unanswerable', 'unanswerable']",unanswerable,laptop,fusion wins
VizWiz_val_00000860.jpg,What kind of coffee is this?,"['tassimo', 'tassimo gevalia mocha', 'tassimo', 'tassimo gevalia mocha', 'gevalia', 'tassimo', 'gevalia mocha', 'tassimo', 'tassimo', 'gevalia mocha']",gevalia,french vanilla,fusion wins
VizWiz_val_00000867.jpg,What is this product?,"['dell', 'dell laptop', 'laptop computer monitor', 'dell laptop', 'laptop', 'computer', 'laptop computer', 'desktop laptop', 'lap top', 'dell laptop']",unanswerable,computer,skill wins
VizWiz_val_00000874.jpg,What do you see on the screen?,"['pop up message', 'message window', 'dialog box', 'prompt screen', 'unanswerable', 'unanswerable', 'text box', 'unanswerable', 'box', 'unanswerable']",computer screen,unanswerable,skill wins
VizWiz_val_00000875.jpg,What is this?,"['printer pop up on top survey something', 'monitor', 'computer', 'prompt screen', 'computer screen', 'screen', 'monitor', 'computer screen', 'computer', 'monitor']",computer monitor,computer screen,skill wins
VizWiz_val_00000901.jpg,Did I win?,"['no', 'yes', 'no', 'unanswerable', 'no', 'unanswerable', 'no', 'no', 'no', 'no']",unanswerable,yes,fusion wins
VizWiz_val_00000902.jpg,"Yes, I would just like a description of the visual image which is a Google Street View of a given location.","['unanswerable', 'unsure', 'park', 'wooded area', 'park', 'unanswerable', 'unanswerable', 'unanswerable', 'yard trees', 'small hill steps to left single tree to right woodbine in rear']",unanswerable,no,fusion wins
VizWiz_val_00000904.jpg,What does the caption say?,"['unanswerable', 'security challange', 'too blurry', 'unanswerable', 'unanswerable', 'unanswerable', 'paypal', 'paypal', 'paypal', 'listen to recording characters']",unanswerable,computer screen,fusion wins
VizWiz_val_00000908.jpg,Can you tell me what the thing in the box says?,"['delightful grandchildren', 'something about delightful grandchildren', 'delightful', 'nothing more delightful than grandchildren', 'few things more delightful than grandchildren fighting over your lap', 'delightful grandchildren', 'delightful grandchildren', 'few things more delightful than grandchildren fighting over your lap', 'unanswerable', 'delightful grandchildren']",no,unanswerable,skill wins
VizWiz_val_00000941.jpg,What's on this computer screen?,"['google', 'unanswerable', 'desktop images', 'google accounts', 'google accounts', 'google', 'google', 'google', 'google accounts', 'google']",unanswerable,laptop,fusion wins
VizWiz_val_00000944.jpg,Do I have icons on my desktop on the screen?,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",yes,windows,fusion wins
